,station_id,lat,lng
257,13059,41.97328682025979,-87.65475958585739
258,13060,41.9257166,-87.6536585
259,13061,41.90345,-87.667747
260,13063,41.954245,-87.654406
261,13068,41.91552,-87.687022
262,13071,41.943739,-87.66402
263,13073,41.88592,-87.66717
264,13074,41.965221,-87.658139
265,13075,41.85308455741279,-87.63193130493164
266,13080,41.871514,-87.669886
267,13081,41.87501,-87.67328
268,13083,41.82168,-87.6216
269,13084,41.922695,-87.697153
270,13085,41.929567,-87.707857
271,13089,41.854966518753926,-87.67569959163664
272,13091,41.854109,-87.685838
273,13096,41.8537957934734,-87.69582286477088
274,13099,41.85750568031716,-87.64599144458771
275,13102,41.85761755293753,-87.61941075325012
276,13108,41.973815,-87.6597735
277,13109,41.978361,-87.659789
278,13124,41.9267559875,-87.6344287848
279,13128,41.911974,-87.631942
280,13132,41.895769,-87.67722
281,13133,41.915983,-87.677335
282,13134,41.88137,-87.67493
283,13135,41.857556,-87.661535
284,13136,41.903266,-87.678435
285,13137,41.93758231600629,-87.6440978050232
286,13138,41.878125,-87.639968
287,13139,41.868968,-87.659141
288,13143,41.9406,-87.6785
289,13144,41.943403,-87.679618
290,13146,41.918306,-87.636282
291,13150,41.857926,-87.624336
292,13154,41.910522,-87.653106
293,13155,41.884081224846845,-87.656853
294,13156,41.880419,-87.655519
295,13157,41.87772613,-87.65478743
296,13158,41.8776415962753,-87.64961779117584
297,13160,41.8696317,-87.6542494
298,13162,41.85377981072743,-87.6466029882431
299,13163,41.858086,-87.651073
300,13164,41.8583996,-87.6564226
301,13165,41.865054,-87.656959
302,13179,41.915689,-87.6346
303,13191,41.922167,-87.638888
304,13192,41.919936,-87.64883
305,13193,41.921822,-87.64414
306,13194,41.891795,-87.658751
307,13196,41.894556,-87.653449
308,13197,41.886827,-87.658937
309,13206,41.877945,-87.662007
310,13208,41.93314,-87.64776
311,13213,41.841707,-87.626938
312,13215,41.836208,-87.613533
313,13216,41.834734,-87.625813
314,13217,41.8349,-87.61793
315,13221,41.907655,-87.672552
316,13224,41.907066,-87.667252
317,13229,41.93947775040509,-87.6637476682663
318,13235,41.94815,-87.6640712
319,13241,41.902893,-87.687275
320,13242,41.92019556200566,-87.69265919923781
321,13243,41.912616,-87.681391
322,13245,41.907781,-87.685854
323,13247,41.89595435734305,-87.6677280664444
324,13248,41.899643,-87.6677
325,13249,41.956057,-87.668835
326,13253,41.948797,-87.675278
327,13256,41.903029,-87.697474
328,13257,41.910535,-87.689556
329,13258,41.910044,-87.697167
330,13259,41.91849115368695,-87.69742280244827
331,13263,41.884728,-87.619521
332,13265,41.893871665,-87.64169722795485
333,13266,41.917741,-87.691392
334,13268,41.93588,-87.67842
335,13269,41.936083,-87.669807
336,13271,41.931931,-87.677856
337,13276,41.93132,-87.638742
338,13277,41.940106,-87.645451
339,13278,41.945529,-87.646439
340,13285,41.869265218438194,-87.67373085021973
341,13288,41.920082,-87.677855
342,13289,41.89637337,-87.66098386
343,13290,41.9007,-87.662607
344,13292,41.921525,-87.707322
345,13294,41.93258963429789,-87.66593635082245
346,13296,41.92883,-87.668507
347,13300,41.880958,-87.616743
348,13303,41.89675,-87.63089
349,13304,41.861267,-87.656625
350,13307,41.85491457576575,-87.66355991363525
351,13319,41.950687,-87.6687
352,13323,41.952833,-87.649993
353,13325,41.949074,-87.648636
354,13326,41.874255,-87.639573
355,13331,41.855136,-87.654127
356,13332,41.87222873224032,-87.66136385500431
357,13338,41.896944626370825,-87.62175768613815
358,13341,41.882409,-87.639767
359,13345,41.831379,-87.618034
360,13353,41.88283,-87.661206
361,13354,41.865234,-87.666507
362,13379,41.95786652415174,-87.64950513839722
363,13389,41.961004,-87.649603
364,13398,41.802562,-87.590368
365,13409,41.883165,-87.6511
366,13420,41.8246,-87.61678
367,13427,41.890573,-87.622072
368,13430,41.890762,-87.631697
369,13431,41.866095,-87.607267
370,13432,41.889899,-87.671473
371,13434,41.891072,-87.666611
372,1523185.1,41.9204347,-87.7743901
373,1524189,41.9170767,-87.7353543
374,15442,41.83920868403,-87.6656098589
375,15443,41.842733,-87.635491
376,15445,41.83452988563,-87.6318229814
377,15446,41.83068856472101,-87.65621066093445
378,15449,41.82301523798,-87.6265680185
379,15470,41.80229465088,-87.6180535802
380,15491,41.78091096424803,-87.57632374763489
381,15529,41.8985866514,-87.6219152258
382,15530,41.89576474564,-87.6259080327
383,15534,41.88634906269,-87.6175165471
384,15535,41.883703,-87.644238
385,15539,41.87811890091227,-87.64394760131836
386,15541.1.1,41.869741976499995,-87.62389427400001
387,15542,41.87146651779,-87.6409491327
388,15544,41.86722595682,-87.6153553902
389,15545,41.85741178707404,-87.61379152536392
390,15546,41.85418424947,-87.6191537415
391,15550,41.870257,-87.639474
392,15571,41.9947796884,-87.6602845349
393,15575,41.98974251144,-87.6601406209
394,15576,41.98404411519213,-87.65228122472763
395,15578,41.9840446107,-87.6602738295
396,15585,41.98366470886,-87.6964225611
397,15597,41.76906172032,-87.6446135779
398,15599,41.76550800581,-87.616917925
